Version.[Version Name],Time.[Week],W CM Artificial Base Capacity Spread
CurrentWorkingView,24-Jul-22,7
CurrentWorkingView,31-Jul-22,1
CurrentWorkingView,01-Aug-22,6
CurrentWorkingView,07-Aug-22,7
CurrentWorkingView,14-Aug-22,7
CurrentWorkingView,21-Aug-22,7
CurrentWorkingView,28-Aug-22,4
CurrentWorkingView,01-Sep-22,3
CurrentWorkingView,04-Sep-22,7
CurrentWorkingView,11-Sep-22,7
CurrentWorkingView,18-Sep-22,7
CurrentWorkingView,25-Sep-22,6
CurrentWorkingView,01-Oct-22,1
CurrentWorkingView,02-Oct-22,7
CurrentWorkingView,09-Oct-22,7
CurrentWorkingView,16-Oct-22,7
CurrentWorkingView,23-Oct-22,7
CurrentWorkingView,30-Oct-22,2
CurrentWorkingView,01-Nov-22,5
CurrentWorkingView,06-Nov-22,7
CurrentWorkingView,13-Nov-22,7
CurrentWorkingView,20-Nov-22,7
CurrentWorkingView,27-Nov-22,4
CurrentWorkingView,01-Dec-22,3
CurrentWorkingView,04-Dec-22,7
CurrentWorkingView,11-Dec-22,7
CurrentWorkingView,18-Dec-22,7
CurrentWorkingView,25-Dec-22,7
CurrentWorkingView,01-Jan-23,7
CurrentWorkingView,08-Jan-23,7
CurrentWorkingView,15-Jan-23,7
CurrentWorkingView,22-Jan-23,7
CurrentWorkingView,29-Jan-23,3
CurrentWorkingView,01-Feb-23,4
CurrentWorkingView,05-Feb-23,7
CurrentWorkingView,12-Feb-23,7
CurrentWorkingView,19-Feb-23,7
CurrentWorkingView,26-Feb-23,3
CurrentWorkingView,01-Mar-23,4
CurrentWorkingView,05-Mar-23,7
CurrentWorkingView,12-Mar-23,7
CurrentWorkingView,19-Mar-23,7
CurrentWorkingView,26-Mar-23,6
CurrentWorkingView,01-Apr-23,1
CurrentWorkingView,02-Apr-23,7
CurrentWorkingView,09-Apr-23,7
CurrentWorkingView,16-Apr-23,7
CurrentWorkingView,23-Apr-23,7
CurrentWorkingView,30-Apr-23,1
CurrentWorkingView,01-May-23,6
CurrentWorkingView,07-May-23,7
CurrentWorkingView,14-May-23,7
CurrentWorkingView,21-May-23,7
CurrentWorkingView,28-May-23,4
CurrentWorkingView,01-Jun-23,3
CurrentWorkingView,04-Jun-23,7
CurrentWorkingView,11-Jun-23,7
CurrentWorkingView,18-Jun-23,7
CurrentWorkingView,25-Jun-23,6
CurrentWorkingView,01-Jul-23,1
CurrentWorkingView,02-Jul-23,7
CurrentWorkingView,09-Jul-23,7
CurrentWorkingView,16-Jul-23,7
CurrentWorkingView,23-Jul-23,7
CurrentWorkingView,30-Jul-23,2
CurrentWorkingView,01-Aug-23,5
CurrentWorkingView,06-Aug-23,7
CurrentWorkingView,13-Aug-23,7
CurrentWorkingView,20-Aug-23,7
CurrentWorkingView,27-Aug-23,5
CurrentWorkingView,01-Sep-23,2
CurrentWorkingView,03-Sep-23,7
CurrentWorkingView,10-Sep-23,7
CurrentWorkingView,17-Sep-23,7
CurrentWorkingView,24-Sep-23,7
CurrentWorkingView,01-Oct-23,7
CurrentWorkingView,08-Oct-23,7
CurrentWorkingView,15-Oct-23,7
CurrentWorkingView,22-Oct-23,7
CurrentWorkingView,29-Oct-23,3
CurrentWorkingView,01-Nov-23,4
CurrentWorkingView,05-Nov-23,7
CurrentWorkingView,12-Nov-23,7
CurrentWorkingView,19-Nov-23,7
CurrentWorkingView,26-Nov-23,5
CurrentWorkingView,01-Dec-23,2
CurrentWorkingView,03-Dec-23,7
CurrentWorkingView,10-Dec-23,7
CurrentWorkingView,17-Dec-23,7
CurrentWorkingView,24-Dec-23,7
CurrentWorkingView,31-Dec-23,1
